MCS	Id	Type	Volume	SurfaceArea	X_Location	Y_Location	VEGF165	VEGF121	TotalVEGF	CXCL10	CCL2	Growing	Arrested	Quiescent	Apoptotic	Total Cell Number
0	292	1	31	27.297742533661587	168.45448925327202	130.64491441330122	0.049746766686439514	0.0	0.049746766686439514	0.0	0.0028196375351399183	0	0	1	0	292
0	293	1	31	27.297742533661587	175.71921105658512	130.8250314828049	0.05465923622250557	0.0031533294823020697	0.05781256570480764	0.0035219865385442972	0.004234575666487217	0	0	1	0	293
0	296	1	31	27.297742533661587	197.9936886518677	130.6449144133012	0.050107691437006	0.0021536455024033785	0.052261336939409375	0.0002881948894355446	0.0014026507269591093	0	0	1	0	296
0	297	1	33	29.779355491267186	205.35347224186336	130.76408277746776	0.05385258048772812	0.0032932974863797426	0.05714587797410786	0.0021336718928068876	2.457599839544855e-05	0	0	1	0	297
0	298	1	33	26.056936054858788	212.81241118830292	130.67948233573122	0.04971812292933464	0.0012706631096079946	0.050988786038942635	0.0	0.0014128907350823283	0	0	1	0	298
0	299	1	33	27.297742533661587	220.3982507973473	130.6230820412402	0.054659321904182434	0.0030833452474325895	0.057742667151615024	0.0035219863057136536	0.004228431731462479	0	0	1	0	299
0	302	1	33	28.538549012464387	56.75279633160532	138.18072150303908	0.049777694046497345	0.001068597543053329	0.050846291589550674	0.0	0.0006905383197590709	0	0	1	0	302
0	303	1	33	28.538549012464387	63.91563373196694	138.124321208548	0.049777694046497345	0.001068597543053329	0.050846291589550674	0.0	0.0006905383197590709	0	0	1	0	303
0	304	1	32	26.056936054858788	71.58387064624432	138.22390297850873	0.04977799206972122	0.001068597543053329	0.05084658961277455	0.0	0.0006905383197590709	0	0	1	0	304
0	305	1	32	27.297742533661587	79.01416881813765	138.19482157666175	0.04977773502469063	0.0010336055420339108	0.05081134056672454	0.0	0.0006874662940390408	0	0	1	0	305
0	308	1	30	26.056936054858788	101.18776834636827	138.10176109075158	0.05073365941643715	0.0021711078006774187	0.05290476721711457	0.0008673081756569445	0.00010926079994533211	0	0	1	0	308
